"Country","Mountain_range","Locality","Plot","Subplot","Date","Day","Month","Year","Radiation","Phos_P","Glu_P","SOC_P","NT_P","PT_P","K_P","pH_P","Cond_P","Phos_B","Glu_B","SOC_B","NT_B","PT_B","K_B","pH_B","Cond_B","Phos_T","Glu_T","SOC_T","NT_T","PT_T","K_T","pH_T","Cond_T"
"Spain","Sierra de Guadarrama","Cerro Malo","6","4",2010-08-04,4,8,2010,0.805266207,3.0953166395,1.386945484,1.8884906525,1.722576475,0.383695878,0.0105815765,4.878,30.88,2.643292012,1.055465387,1.795853071,1.697597515,0.493274671,0.009306813,5.304,25.02,2.913669254,1.061036704,1.787651002,1.649734095,0.432261637,0.00960482,5.203690696,25.05991673
"Spain","Sierra de Guadarrama","Cerro Malo","6","5",2010-08-04,4,8,2010,0.805266207,3.0953166395,1.386945484,1.8884906525,1.722576475,0.383695878,0.0105815765,4.878,30.88,2.643292012,1.055465387,1.795853071,1.697597515,0.493274671,0.009306813,5.304,25.02,2.913669254,1.061036704,1.787651002,1.649734095,0.432261637,0.00960482,5.203690696,25.05991673
"Spain","Sierra de Guadarrama","Cerro Minguete","7","1",2011-06-14,14,6,2011,0.713859979,5.534269131,3.2560525895,8.71572906,6.9162872245,0.665701027,0.0251382045,4.81525,80.13,4.137361191,1.76344837,4.854367028,4.126199668,0.535116995,0.020967853,4.946,79.46,5.89886245,3.599592688,7.409575087,5.785948811,0.664743829,0.022860239,4.785596519,94.86755041
"Spain","Sierra de Guadarrama","Cerro Minguete","7","2",2011-06-14,14,6,2011,0.713859979,5.534269131,3.2560525895,8.71572906,6.9162872245,0.665701027,0.0251382045,4.81525,80.13,4.137361191,1.76344837,4.854367028,4.126199668,0.535116995,0.020967853,4.946,79.46,5.89886245,3.599592688,7.409575087,5.785948811,0.664743829,0.022860239,4.785596519,94.86755041
"Spain","Sierra de Guadarrama","Cerro Minguete","7","3",2011-06-14,14,6,2011,0.713859979,5.534269131,3.2560525895,8.71572906,6.9162872245,0.665701027,0.0251382045,4.81525,80.13,4.137361191,1.76344837,4.854367028,4.126199668,0.535116995,0.020967853,4.946,79.46,5.89886245,3.599592688,7.409575087,5.785948811,0.664743829,0.022860239,4.785596519,94.86755041
"Spain","Sierra de Guadarrama","Cerro Minguete","7","4",2011-06-14,14,6,2011,0.713859979,5.534269131,3.2560525895,8.71572906,6.9162872245,0.665701027,0.0251382045,4.81525,80.13,4.137361191,1.76344837,4.854367028,4.126199668,0.535116995,0.020967853,4.946,79.46,5.89886245,3.599592688,7.409575087,5.785948811,0.664743829,0.022860239,4.785596519,94.86755041
"Spain","Sierra de Guadarrama","Cerro Minguete","7","5",2011-06-14,14,6,2011,0.713859979,5.534269131,3.2560525895,8.71572906,6.9162872245,0.665701027,0.0251382045,4.81525,80.13,4.137361191,1.76344837,4.854367028,4.126199668,0.535116995,0.020967853,4.946,79.46,5.89886245,3.599592688,7.409575087,5.785948811,0.664743829,0.022860239,4.785596519,94.86755041
"Spain","Sierra de Guadarrama","Citores","8","1",2010-07-05,5,7,2010,0.78665788,6.221260275,1.655813009,7.5404242445,6.412399397,0.892669032,0.016902541,5.054,51.89,5.094304802,2.09576036,5.045532031,4.51691094,0.76876477,0.01266491,5.812,34.78,6.305018219,0.97321399,7.659554583,6.402509455,0.907710454,0.019121963,5.146693104,53.00875688
"Spain","Sierra de Guadarrama","Citores","8","2",2010-07-05,5,7,2010,0.78665788,6.221260275,1.655813009,7.5404242445,6.412399397,0.892669032,0.016902541,5.054,51.89,5.094304802,2.09576036,5.045532031,4.51691094,0.76876477,0.01266491,5.812,34.78,6.305018219,0.97321399,7.659554583,6.402509455,0.907710454,0.019121963,5.146693104,53.00875688
"Spain","Sierra de Guadarrama","Citores","8","3",2010-07-05,5,7,2010,0.78665788,6.221260275,1.655813009,7.5404242445,6.412399397,0.892669032,0.016902541,5.054,51.89,5.094304802,2.09576036,5.045532031,4.51691094,0.76876477,0.01266491,5.812,34.78,6.305018219,0.97321399,7.659554583,6.402509455,0.907710454,0.019121963,5.146693104,53.00875688
"Spain","Sierra de Guadarrama","Citores","8","4",2010-07-05,5,7,2010,0.78665788,6.221260275,1.655813009,7.5404242445,6.412399397,0.892669032,0.016902541,5.054,51.89,5.094304802,2.09576036,5.045532031,4.51691094,0.76876477,0.01266491,5.812,34.78,6.305018219,0.97321399,7.659554583,6.402509455,0.907710454,0.019121963,5.146693104,53.00875688
